StudentID	scores
5154363190	62.71
5164363298	57.97
5150963151	61.02
5154363151	48.00
5154363250	61.72
5154363255	29.91
5154363101	60.14
5154363075	69.24
5174363201	63.58
5184363231	94.73
5184363122	57.37
5154363177	23.50
5150963084	45.37
5194363077	61.11
5144363058	67.74
5164363104	77.58
5144363124	88.88
5154363118	27.59
5134363177	57.11
5150963107	55.91
5154363205	49.64
5164363206	66.36
5154363198	99.00
5150963201	69.23
5160963099	94.55
5154363280	56.08
5144363041	70.15
5134363182	54.34
5154363188	81.74
5154363251	64.98
5154363158	79.60
5144363081	83.36
5154363109	68.43
5154363288	87.78
5154363180	100.00
5154363097	80.49
5164363234	69.76
5164363154	88.26
5164363040	71.12
5164363118	47.86
5164363159	79.71
5164363184	69.90
7164363074	64.48
5164363051	95.53
5164363271	100.00
5154363183	59.55
5164363072	72.07
5164363240	53.85
5164363197	83.61
5154363163	22.71
